HOLE:	995B
LEG:	164
TOP:	133.960007
BOTTOM:	657.911194
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohmm	ohmm	ohmm
167.7928	0.8360	0.8257	0.7899
167.9452	0.8395	0.8308	0.8107
168.0976	0.8427	0.8397	0.8399
168.2500	0.8505	0.8479	0.8641
168.4024	0.8545	0.8527	0.8620
168.5548	0.8602	0.8568	0.8191
168.7072	0.8710	0.8649	0.7764
168.8596	0.8814	0.8776	0.8463
169.0120	0.8907	0.8919	0.8862
169.1644	0.8998	0.9038	0.8582
169.3168	0.9065	0.9103	0.8516
169.4692	0.9123	0.9111	0.8556
169.6216	0.9143	0.9098	0.8675
169.7740	0.9144	0.9097	0.8624
169.9264	0.9139	0.9112	0.8586
170.0788	0.9108	0.9121	0.8792
170.2312	0.9050	0.9094	0.8790
170.3836	0.9016	0.9029	0.8816
170.5360	0.9017	0.8959	0.8551
170.6884	0.9011	0.8926	0.8113
170.8408	0.8974	0.8940	0.8336
170.9932	0.8950	0.8988	0.8475
171.1456	0.8947	0.9051	0.8484
171.2980	0.8944	0.9112	0.8560
171.4504	0.8940	0.9149	0.8521
171.6028	0.8932	0.9142	0.8625
171.7552	0.8945	0.9084	0.8767
171.9076	0.8965	0.8991	0.8846
172.0600	0.8972	0.8896	0.8891
172.2124	0.8970	0.8824	0.8903
172.3648	0.8949	0.8777	0.8927
172.5172	0.8964	0.8747	0.8987
172.6696	0.8995	0.8736	0.8519
172.8220	0.9028	0.8755	0.8273
172.9744	0.9053	0.8808	0.8220
173.1268	0.9072	0.8889	0.8159
173.2792	0.9078	0.8978	0.8366
173.4316	0.9041	0.9038	0.8661
173.5840	0.9046	0.9048	0.8848
173.7364	0.9092	0.9013	0.8938
173.8888	0.9115	0.8957	0.9030
174.0412	0.9113	0.8921	0.9013
174.1936	0.9117	0.8944	0.8899
174.3460	0.9100	0.9019	0.8641
174.4984	0.9055	0.9092	0.8595
174.6508	0.9025	0.9113	0.8443
174.8032	0.8962	0.9064	0.8472
174.9556	0.8965	0.8963	0.8473
175.1080	0.8968	0.8861	0.8574
175.2604	0.8959	0.8814	0.8440
175.4128	0.8958	0.8844	0.8373
175.5652	0.8960	0.8932	0.8368
175.7176	0.8968	0.9028	0.8726
175.8700	0.8975	0.9079	0.8798
176.0224	0.9014	0.9065	0.8724
176.1748	0.9082	0.9017	0.8362
176.3272	0.9094	0.8981	0.8383
176.4796	0.9096	0.8979	0.8690
176.6320	0.9046	0.9008	0.8402
176.7844	0.8953	0.9019	0.8482
176.9368	0.8858	0.8920	0.8601
177.0892	0.8705	0.8641	0.8523
177.2416	0.8584	0.8237	0.8554
177.3940	0.8699	0.7895	0.7731
177.5464	0.8723	0.7808	0.6737
177.6988	0.8707	0.8062	0.6782
177.8512	0.8642	0.8588	0.7020
178.0036	0.8607	0.9147	0.7766
178.1560	0.8605	0.9441	0.8852
178.3084	0.8731	0.9363	0.8870
178.4608	0.8970	0.9087	0.8568
178.6132	0.8944	0.8825	0.8677
178.7656	0.8946	0.8661	0.9102
178.9180	0.8951	0.8587	0.8696
179.0704	0.8930	0.8586	0.8345
179.2228	0.8887	0.8645	0.8240
179.3752	0.8859	0.8747	0.8344
179.5276	0.8897	0.8862	0.8657
179.6800	0.8830	0.8932	0.8433
179.8324	0.8809	0.8910	0.8502
179.9848	0.8822	0.8798	0.8533
180.1372	0.8730	0.8639	0.8265
180.2896	0.8718	0.8478	0.8489
180.4420	0.8736	0.8370	0.8121
180.5944	0.8797	0.8354	0.7845
180.7468	0.8750	0.8427	0.7515
180.8992	0.8743	0.8540	0.7975
181.0516	0.8639	0.8615	0.8114
181.2040	0.8568	0.8588	0.8182
181.3564	0.8641	0.8471	0.8070
181.5088	0.8668	0.8347	0.7815
181.6612	0.8656	0.8291	0.7746
181.8136	0.8600	0.8321	0.7730
181.9660	0.8594	0.8418	0.7867
182.1184	0.8607	0.8549	0.8022
182.2708	0.8618	0.8682	0.7925
182.4232	0.8627	0.8783	0.8012
182.5756	0.8615	0.8818	0.8017
182.7280	0.8607	0.8773	0.8079
182.8804	0.8613	0.8674	0.8587
183.0328	0.8600	0.8575	0.8784
183.1852	0.8601	0.8517	0.8438
183.3376	0.8611	0.8510	0.8063
183.4900	0.8601	0.8543	0.8121
183.6424	0.8587	0.8595	0.8147
183.7948	0.8581	0.8648	0.8144
183.9472	0.8558	0.8688	0.8185
184.0996	0.8561	0.8708	0.8167
184.2520	0.8573	0.8696	0.8129
184.4044	0.8534	0.8643	0.8272
