OCEAN DRILLING PROGRAM		
Hole: 995B		
Leg: 164		
Shear Sonic Tool		
Operator: Borehole Research Group (Lamont Doherty Earth 		
Date: 11/2/1995		

"Note: for further information about the tool and the data processing performed, refer to the paper: Guerin et al., "Characterization of in situ elastic properties of gas hydrate-bearing sediments on the Blake Ridge, J. Geophys. Res., 104(8), 17,781-17,795, 1999".		

DEPTH	VP	VS
mbsf	m/s	m/s
597.66	1616.09	603.49
597.54	1624.66	613.57
597.42	1633.33	615.25
597.3	1633.33	615.73
597.18	1622.7	612.29
597.04	1620.52	615.54
596.89	1629.19	627.32
596.74	1631.41	639.54
596.59	1629.19	650.52
596.44	1637.64	663.32
596.29	1635.49	673.21
596.14	1635.49	655.82
595.99	1628.94	642.52
595.84	1622.47	637.71
595.69	1626.87	631.31
595.54	1633.42	625.64
595.39	1637.94	627.68
595.24	1642.27	623.73
595.09	1646.56	610.99
594.94	1640	598.25
594.79	1629.23	593.16
594.64	1622.5	589.16
594.49	1624.71	593.71
594.34	1631.35	594.24
594.19	1642.42	593.61
594.04	1664.72	593
593.89	1676.1	592.88
593.74	1682.92	592.52
593.59	1687.5	608.4
593.44	1685.22	628.76
593.29	1654.79	639.69
593.14	1628.72	653.4
592.99	1604.99	671.68
592.84	1581.26	678
592.69	1560.12	689
592.54	1562.11	697.39
592.39	1562.11	703.98
592.24	1546.85	702.88
592.09	1540.95	698.55
591.94	1537.04	682.18
591.79	1529.22	669.21
591.64	1519.5	654.33
591.49	1523.18	638.38
591.34	1525.12	598.69
591.19	1523.2	564.2
591.04	1523.2	532.74
590.89	1525.09	502.22
590.74	1536.68	522.54
590.59	1536.68	553.84
590.44	1540.54	585.02
590.29	1546.37	619.21
590.14	1554.19	652.71
589.99	1540.76	646.33
589.84	1529.46	635.14
589.69	1521.83	619.86
589.54	1516	591.56
589.39	1510.1	570.02
589.24	1517.63	557.07
589.09	1526.99	569.67
588.94	1532.67	581.93
588.79	1534.59	599.01
588.64	1538.5	610.24
588.49	1542.41	605.33
588.34	1548.31	599.64
588.19	1550.26	599.76
588.04	1554.16	606.02
587.89	1552.2	609.14
587.74	1554.19	614.55
587.59	1556.21	617.96
587.44	1564.23	617.71
587.29	1574.46	615.18
587.14	1593.11	617.18
586.99	1612.26	622.84
586.84	1636.31	622.96
586.69	1663.09	623.58
586.54	1690.61	625.21
586.39	1716.72	625.72
586.24	1738.37	618.33
586.09	1753.1	619.6
585.94	1758.01	625.98
585.79	1758.01	636.92
585.64	1774.09	648.1
585.49	1810.86	661.38
585.34	1850.79	676.26
585.19	1883.47	672.67
585.04	1916.15	658.02
584.89	1930.7	633.84
584.74	1937.05	607.27
584.59	1943.5	586.54
584.44	1962.25	583.51
584.29	1981	587.35
