HOLE:	995B
LEG:	164
TOP:	115.823997
BOTTOM:	663.092407
DEPTH_WMSF	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG
m	gAPI	gAPI	ppm	ppm	%	cps	cps	cps	cps	cps
127.2540	7.6122	7.2416	2.1671	0.0419	-0.0066	26.4475	8.5776	2.1444	0.7148	0.7148
127.4064	7.1230	6.6910	2.0479	0.0488	-0.0152	26.4475	10.7219	5.0036	0.0000	1.4296
127.5588	5.9434	5.6273	1.7216	0.0357	-0.0126	27.1817	5.7225	6.4378	0.0000	0.7153
127.7112	3.9834	4.0070	1.2034	-0.0027	-0.0045	16.4756	7.1633	0.0000	0.0000	0.0000
127.8636	1.9734	2.1373	0.6245	-0.0185	0.0010	10.0143	2.1459	0.0000	0.0000	0.0000
128.0160	0.8260	0.9794	0.2790	-0.0173	0.0019	3.5740	0.0000	0.0000	0.0000	0.0000
128.1684	0.2327	0.2952	0.0826	-0.0071	0.0009	1.4286	0.0000	0.0000	0.0000	0.0000
128.3208	0.0646	0.0867	0.0239	-0.0025	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000
128.4732	119.8963	193.5891	50.3884	-8.3253	1.3138	0.0000	0.0000	0.0000	0.0000	0.0000
128.6256	274.3330	463.3413	119.1933	-21.3528	3.4226	2285.6208	392.8105	67.9739	63.3987	82.3529
128.7780	413.6494	728.0733	185.2402	-35.5213	5.7843	3221.3115	380.4645	62.1585	55.3279	66.2568
128.9304	433.2007	821.6722	205.3475	-43.8866	7.2606	2940.6548	346.5211	61.3915	53.2060	53.8881
129.0828	411.4229	848.0417	208.4396	-49.3260	8.1851	3043.6563	281.0368	60.0273	55.9345	59.3452
129.2352	390.6525	952.9608	229.6318	-63.5254	10.1062	2907.1038	252.0492	69.6721	53.2787	56.0109
129.3876	356.1654	1086.9014	256.7256	-82.5531	12.5509	2724.6067	218.8841	69.3848	66.5236	69.3848
129.5400	391.4919	937.9202	245.3412	-61.7314	6.1249	2551.5022	201.7167	60.8011	57.2246	62.2318
129.6924	434.6082	792.3100	237.5049	-40.4105	-0.8060	2298.4968	160.3436	54.4023	45.8125	56.5498
129.8448	482.4177	618.3757	218.0888	-15.3595	-7.0975	2221.6917	138.4720	45.7026	43.6562	44.3383
129.9972	381.5481	1124.1610	291.9345	-83.8949	7.7609	2009.3057	135.2899	70.1503	56.5498	52.9706
130.1496	294.4385	1307.9711	300.0664	-114.5014	16.8581	1377.4125	90.7791	61.4725	51.4653	53.6097
130.3020	211.4384	1434.4486	302.2323	-138.1666	23.7957	871.9600	65.0930	49.3562	47.9256	49.3562
130.4544	183.1921	999.2093	214.4850	-92.1876	15.7937	738.1974	72.9614	65.0930	57.9399	57.2246
130.6068	130.5339	718.1924	154.0270	-66.3893	11.3789	388.8889	43.5435	45.7958	39.0390	52.5526
130.7592	85.4405	491.8011	105.0636	-45.9076	7.8731	135.8859	45.7958	35.2853	34.5345	60.8108
130.9116	81.6868	487.4820	103.8376	-45.8437	7.8639	18.7829	15.7776	18.0316	44.3276	241.9234
131.0640	214.6643	1320.4465	280.5661	-124.9231	21.4394	15.0215	16.4521	48.6409	142.3462	237.4821
131.2164	443.7227	2760.2864	585.8437	-261.7082	44.9471	9.3057	52.9707	235.5047	114.5311	1521.1168
131.3688	690.8206	4325.6528	917.4304	-410.6364	70.5646	9.7671	268.9707	236.6642	1074.3801	1409.4666
131.5212	835.9405	5258.6948	1114.9789	-499.6499	85.8527	51.4653	503.9314	1984.2745	513.2238	85.7755
131.6736	903.2234	5675.2988	1203.7067	-539.1137	92.5757	271.1016	2332.6179	461.3734	42.9185	22.1745
131.8260	941.1728	5864.1445	1244.8119	-556.1609	95.4482	611.4028	2472.6182	51.7629	16.5041	19.5049
131.9784	916.7529	5639.1235	1198.3163	-533.4985	91.5345	2617.0366	385.1108	19.3271	8.5898	10.7373
132.1308	640.0765	3898.3220	828.9382	-368.0924	63.1704	2451.8796	50.3759	13.5338	5.2632	9.0226
132.2832	332.2752	2002.3634	426.1273	-188.6742	32.3791	343.8438	35.2853	8.2583	2.2523	8.2583
132.4356	70.5060	406.9731	86.6925	-38.0116	6.5644	80.1718	20.7588	5.7266	0.7158	2.1475
132.5880	38.7759	204.0951	43.4613	-18.6765	3.2949	83.6312	25.7327	5.7184	1.4296	1.4296
132.7404	49.8631	179.6918	38.2452	-14.6671	2.9048	77.1980	17.1551	5.7184	2.1444	1.4296
132.8928	60.8459	117.1096	23.3781	-6.3562	2.1990	100.7863	34.3102	12.1515	2.8592	2.8592
133.0452	68.5469	63.3390	11.1955	0.5884	1.4757	94.6657	37.5657	10.5184	0.7513	0.7513
133.1976	56.5565	17.6283	1.7468	4.3978	0.6813	110.2362	39.3701	9.3057	0.7158	1.4316
133.3500	40.5976	12.7273	2.1752	3.1486	0.3112	78.6838	40.0572	6.4378	2.1459	0.7153
133.5024	30.8003	14.9624	3.0706	1.7892	0.2644	100.6762	46.5815	14.2750	2.2539	0.7513
133.6548	36.2138	25.9267	4.4514	1.1622	0.6300	122.9450	39.3138	14.2959	4.2888	2.8592
133.8072	45.1127	32.1748	5.0693	1.4616	0.8717	120.1365	42.3208	15.0171	2.0478	2.7304
133.9596	55.0569	36.3447	5.4547	2.1140	1.0384	113.2783	46.5116	12.0030	1.5004	3.7509
134.1120	55.1078	33.0612	4.8505	2.4907	0.9666	143.8797	38.6543	10.0215	5.0107	2.1475
