HOLE:	995B
LEG:	164
TOP:	151.332993
BOTTOM:	661.415771
DEPTH_WMSF	RHOB	PEF	DRHO
m	g/cm3	barns/e-	g/cm3
198.7294	1.5519	2.2576	0.0084
198.8818	1.5495	2.2783	0.0119
199.0342	1.5407	2.4328	0.0069
199.1866	1.5638	2.4743	0.0127
199.3390	1.5629	2.4458	0.0099
199.4914	1.5499	2.4291	0.0022
199.6438	1.5560	2.5605	0.0005
199.7962	1.5871	2.7184	0.0079
199.9486	1.6287	2.7520	0.0178
200.1010	1.6297	2.6423	0.0128
200.2534	1.6274	2.6438	0.0072
200.4058	1.6214	2.6933	0.0064
200.5582	1.6354	2.8971	0.0048
200.7106	1.6166	2.9469	-0.0033
200.8630	1.5894	2.8171	0.0086
201.0154	1.5379	2.5894	0.0005
201.1678	1.4948	2.2941	0.0093
201.3202	1.4507	2.1148	0.0154
201.4726	1.3720	2.0146	-0.0068
201.6250	1.3400	2.0297	-0.0150
201.7774	1.3604	2.2239	-0.0108
201.9298	1.4073	2.3231	0.0008
202.0822	1.4318	2.3405	0.0008
202.2346	1.4309	2.2207	-0.0072
202.3870	1.4508	2.2134	-0.0088
202.5394	1.4866	2.4524	-0.0035
202.6918	1.5455	2.7538	0.0018
202.8442	1.5748	2.8137	0.0098
202.9966	1.5726	2.4958	0.0081
203.1490	1.5117	2.1917	0.0025
203.3014	1.4757	2.0910	-0.0053
203.4538	1.4784	2.2000	0.0179
203.6062	1.4944	2.3502	0.0198
203.7586	1.5211	2.4255	0.0232
203.9110	1.5406	2.6234	0.0129
204.0634	1.5678	2.4595	0.0113
204.2158	1.5086	2.3153	0.0104
204.3682	1.4447	2.1160	0.0238
204.5206	1.3667	2.1025	-0.0116
204.6730	1.3982	2.1758	-0.0111
204.8254	1.4562	2.2061	-0.0092
204.9778	1.5025	2.2551	0.0049
205.1302	1.5135	2.3288	0.0002
205.2826	1.5318	2.4912	0.0023
205.4350	1.5528	2.7074	0.0075
205.5874	1.5860	2.9223	0.0149
205.7398	1.6093	3.0484	0.0130
205.8922	1.6343	3.1087	0.0112
206.0446	1.6164	2.9875	0.0014
206.1970	1.6193	2.8342	0.0149
206.3494	1.5714	2.7469	0.0008
206.5018	1.5376	2.7201	0.0127
206.6542	1.5012	2.7746	0.0144
206.8066	1.4906	2.7449	0.0072
206.9590	1.4691	2.7034	-0.0025
207.1114	1.4458	2.4227	-0.0039
207.2638	1.4117	2.3286	-0.0019
207.4162	1.3917	2.2694	0.0007
207.5686	1.4378	2.4917	-0.0098
207.7210	1.5412	2.7137	0.0268
207.8734	1.6107	2.7594	0.0040
208.0258	1.5528	2.6013	-0.0108
208.1782	1.4792	2.4195	0.0094
208.3306	1.3939	2.2729	0.0027
208.4830	1.3706	2.2215	-0.0052
208.6354	1.3963	2.2311	-0.0017
208.7878	1.4349	2.3356	-0.0001
208.9402	1.4799	2.5424	-0.0049
209.0926	1.5508	2.7405	-0.0031
209.2450	1.6226	2.7941	0.0085
209.3974	1.6261	2.8358	0.0075
209.5498	1.6101	2.9567	0.0097
209.7022	1.5808	3.0233	0.0122
209.8546	1.5324	2.7329	0.0076
210.0070	1.4718	2.4766	-0.0191
210.1594	1.4385	2.1387	-0.0257
210.3118	1.4308	2.0047	-0.0136
210.4642	1.3898	1.5726	-0.0166
210.6166	1.3630	0.7443	-0.0155
210.7690	1.3639	39.9902	-0.0133
210.9214	1.4757	0.0344	-0.0072
211.0738	1.6371	0.7342	0.0061
211.2262	1.5687	2.1399	-0.0067
211.3786	1.4539	2.1544	0.0228
211.5310	1.3682	2.2504	0.0460
211.6834	1.3949	2.4132	0.0165
211.8358	1.4392	2.3173	-0.0112
211.9882	1.5084	2.2879	0.0035
212.1406	1.5082	2.2710	0.0069
212.2930	1.4519	2.5277	0.0055
212.4454	1.4220	2.7838	-0.0037
212.5978	1.4342	2.6111	0.0076
212.7502	1.4697	1.2716	0.0075
212.9026	1.4654	0.0905	0.0086
213.0550	1.4361	39.9903	-0.0227
213.2074	1.5061	0.1198	-0.0175
213.3598	1.5319	1.0941	-0.0212
213.5122	1.4988	1.9042	0.0181
213.6646	1.4007	1.8081	0.0447
213.8170	1.3258	1.8120	0.0426
213.9694	1.3152	1.8037	0.0372
214.1218	1.3178	2.0015	0.0184
214.2742	1.3386	2.2667	-0.0083
214.4266	1.4170	2.6258	0.0016
214.5790	1.4951	2.6234	0.0071
214.7314	1.5259	2.6279	-0.0045
214.8838	1.5666	2.7478	-0.0031
215.0362	1.6119	2.8782	0.0173
215.1886	1.6370	2.9189	0.0139
215.3410	1.6295	2.7539	0.0081
215.4934	1.5984	2.5661	0.0096
215.6458	1.5523	2.3481	0.0032
215.7982	1.5190	2.3014	0.0043
215.9506	1.5235	2.4234	-0.0019
216.1030	1.5718	2.7015	0.0164
216.2554	1.6072	2.8954	0.0097
216.4078	1.6228	2.9422	0.0044
216.5602	1.6322	2.9010	0.0016
216.7126	1.6331	2.8681	0.0004
216.8650	1.6320	2.9984	0.0016
217.0174	1.6353	3.0960	-0.0017
217.1698	1.6277	3.2011	-0.0063
217.3222	1.6454	2.9248	0.0142
217.4746	1.5997	2.6749	-0.0023
217.6270	1.6022	1.7993	0.0166
217.7794	1.5944	0.3953	0.0241
217.9318	1.6204	39.9903	0.0245
218.0842	1.6982	0.1421	0.0247
218.2366	1.7326	0.9367	0.0288
218.3890	1.5711	2.1392	0.0038
218.5414	1.4345	2.1880	-0.0157
218.6938	1.4293	2.1537	0.0049
218.8462	1.5274	1.6403	0.0189
218.9986	1.6016	0.1968	0.0101
219.1510	1.6377	39.9903	0.0007
219.3034	1.7270	0.1306	0.0048
219.4558	1.7679	0.9703	0.0237
219.6082	1.6172	2.0579	0.0091
219.7606	1.5128	2.3290	-0.0083
219.9130	1.5124	2.5725	0.0087
220.0654	1.5780	2.3485	0.0070
220.2178	1.5327	2.1273	0.0214
220.3702	1.4317	2.0458	0.0210
220.5226	1.3825	2.0832	0.0399
220.6750	1.3845	2.1913	0.0449
220.8274	1.4210	2.3146	0.0393
220.9798	1.4299	2.4421	-0.0090
221.1322	1.5008	2.3426	0.0053
221.2846	1.5449	1.5140	0.0276
221.4370	1.5429	0.2974	0.0367
221.5894	1.5018	40.0000	0.0171
221.7418	1.5444	39.9905	0.0078
221.8942	1.5900	0.9896	0.0108
222.0466	1.6449	2.6727	0.0247
222.1990	1.6196	2.9956	0.0192
222.3514	1.6073	3.1001	0.0001
222.5038	1.6566	3.1855	0.0108
222.6562	1.6734	3.1588	0.0166
222.8086	1.6050	3.0708	0.0102
222.9610	1.5413	2.7227	0.0115
223.1134	1.4732	2.5016	0.0026
223.2658	1.5043	2.4468	0.0226
223.4182	1.5354	2.7086	0.0146
223.5706	1.5933	3.0115	0.0040
223.7230	1.6545	3.1708	0.0144
223.8754	1.7018	3.4046	0.0140
224.0278	1.7196	3.5475	0.0061
224.1802	1.7319	3.3933	-0.0094
224.3326	1.7129	3.3614	-0.0338
224.4850	1.6971	3.3399	-0.0351
224.6374	1.7032	3.4042	-0.0182
224.7898	1.7098	3.3657	-0.0046
224.9422	1.7134	3.3536	-0.0031
225.0946	1.7159	3.3311	-0.0005
225.2470	1.7194	3.2715	0.0008
225.3994	1.7193	3.1540	0.0012
225.5518	1.7131	3.1045	0.0001
225.7042	1.6914	3.1942	0.0011
225.8566	1.6835	3.1441	0.0084
226.0090	1.6735	2.9117	0.0101
226.1614	1.6517	2.6046	0.0085
226.3138	1.6346	2.5252	0.0078
226.4662	1.6208	2.6966	0.0099
226.6186	1.6335	2.8883	0.0029
226.7710	1.6423	2.9778	-0.0087
226.9234	1.6633	3.0015	-0.0089
227.0758	1.6670	2.9749	-0.0075
227.2282	1.6552	2.6333	-0.0082
227.3806	1.6256	2.3978	0.0124
227.5330	1.5692	2.2102	0.0021
227.6854	1.5519	2.4193	0.0079
227.8378	1.5583	2.6586	0.0084
227.9902	1.5507	2.6417	-0.0195
228.1426	1.5074	2.5333	-0.0117
228.2950	1.4549	2.3332	0.0070
228.4474	1.4112	2.2407	0.0343
228.5998	1.3893	2.1317	0.0340
228.7522	1.4068	2.1416	-0.0039
228.9046	1.5151	2.3535	0.0217
229.0570	1.6006	2.6757	0.0140
229.2094	1.6254	2.9263	0.0040
229.3618	1.6382	2.8636	0.0082
229.5142	1.6308	2.3765	0.0117
229.6666	1.6139	1.1270	0.0212
229.8190	1.6132	40.0000	0.0276
229.9714	1.6634	39.9902	0.0305
230.1238	1.7897	0.0557	0.0418
230.2762	1.7908	1.3384	0.0156
230.4286	1.7072	2.4575	0.0072
230.5810	1.6223	2.8346	0.0062
230.7334	1.6126	3.0563	0.0017
230.8858	1.6664	3.1249	0.0007
231.0382	1.6846	3.2490	-0.0060
231.1906	1.6875	3.2422	-0.0091
231.3430	1.6825	2.9904	-0.0120
231.4954	1.6505	2.6484	-0.0075
231.6478	1.6336	2.5486	0.0091
231.8002	1.6205	2.8343	0.0069
231.9526	1.6298	3.1100	0.0117
232.1050	1.6012	2.9907	0.0130
232.2574	1.5486	2.7126	0.0030
232.4098	1.5284	2.4209	0.0253
232.5622	1.5009	2.3607	0.0114
232.7146	1.4890	2.3733	-0.0022
232.8670	1.5054	2.3454	-0.0008
233.0194	1.5376	2.3819	-0.0002
233.1718	1.5629	2.4820	0.0034
233.3242	1.6117	2.6087	0.0099
233.4766	1.5767	2.5569	-0.0061
