HOLE:	995B
LEG:	164
TOP:	150.876007
BOTTOM:	658.977600
DEPTH_WMSF	CALI
m	in
221.5896	16.8379
221.7420	16.0951
221.8944	15.5955
222.0468	15.5729
222.1992	14.7259
222.3516	14.0737
222.5040	14.0659
222.6564	14.0784
222.8088	14.1492
222.9612	14.6119
223.1136	14.7288
223.2660	14.7325
223.4184	14.9915
223.5708	14.3314
223.7232	13.8427
223.8756	13.6653
224.0280	13.3843
224.1804	13.4082
224.3328	13.3654
224.4852	13.2392
224.6376	13.5007
224.7900	14.6119
224.9424	14.7300
225.0948	14.7932
225.2472	15.8865
225.3996	17.1371
225.5520	17.3730
225.7044	18.2247
225.8568	18.2809
226.0092	18.1387
226.1616	18.2311
226.3140	17.6602
226.4664	16.4806
226.6188	16.4377
226.7712	16.6858
226.9236	15.6100
227.0760	15.1804
227.2284	15.1860
227.3808	15.1882
227.5332	16.1036
227.6856	18.3372
227.8380	18.2763
227.9904	18.0796
228.1428	16.7702
228.2952	16.9561
228.4476	17.6238
228.6000	17.2791
228.7524	16.4995
228.9048	16.1756
229.0572	16.5467
229.2096	16.5511
229.3620	16.9722
229.5144	17.1316
229.6668	18.3316
229.8192	18.3455
229.9716	18.3130
230.1240	17.7281
230.2764	16.3162
230.4288	16.2833
230.5812	16.2907
230.7336	16.6494
230.8860	17.4090
231.0384	17.9113
231.1908	15.6621
231.3432	14.6326
231.4956	14.6786
231.6480	14.0340
231.8004	14.7371
231.9528	15.5368
232.1052	16.6510
232.2576	16.4929
232.4100	16.2067
232.5624	16.1234
232.7148	15.5446
232.8672	15.6351
233.0196	15.6846
233.1720	15.8097
233.3244	16.1138
233.4768	16.1156
233.6292	16.4108
233.7816	16.9035
233.9340	16.9351
234.0864	16.2622
234.2388	14.7417
234.3912	14.0930
234.5436	14.4512
234.6960	14.0003
234.8484	13.9983
235.0008	14.2446
235.1532	15.4836
235.3056	15.5744
235.4580	15.1913
235.6104	15.8650
235.7628	16.3148
235.9152	16.3916
236.0676	17.3816
236.2200	17.8033
236.3724	17.2954
236.5248	14.0958
236.6772	14.0316
236.8296	14.0130
236.9820	13.9986
237.1344	13.9955
237.2868	13.6249
237.4392	13.2342
237.5916	13.2387
237.7440	13.2412
237.8964	13.4577
238.0488	13.5852
238.2012	13.2999
238.3536	13.3366
238.5060	13.3315
238.6584	13.5506
238.8108	14.5342
238.9632	14.2815
239.1156	14.2720
239.2680	14.6411
239.4204	14.7420
239.5728	14.5947
239.7252	14.5968
239.8776	14.5928
240.0300	14.6532
240.1824	14.7001
240.3348	14.5211
240.4872	14.3766
240.6396	14.3707
240.7920	14.3737
240.9444	14.3747
241.0968	14.2637
241.2492	14.7026
241.4016	14.9029
241.5540	14.7725
241.7064	14.4857
241.8588	14.0699
242.0112	14.0760
242.1636	14.0722
242.3160	14.3160
242.4684	14.3493
242.6208	13.2982
242.7732	13.2204
242.9256	13.3634
243.0780	13.1134
243.2304	14.2958
243.3828	14.1656
243.5352	13.4999
243.6876	13.3907
243.8400	13.6391
243.9924	13.6603
244.1448	13.9667
244.2972	13.7451
244.4496	13.7759
244.6020	13.8149
244.7544	14.1186
244.9068	14.2930
245.0592	14.8257
245.2116	17.1428
245.3640	17.4175
245.5164	16.6884
245.6688	14.4868
245.8212	14.0592
245.9736	13.8004
246.1260	13.8031
246.2784	13.8021
246.4308	13.8030
246.5832	13.8867
246.7356	13.9700
246.8880	13.9832
247.0404	14.9245
247.1928	15.6711
247.3452	15.5058
247.4976	15.2532
247.6500	15.6093
247.8024	16.0935
247.9548	16.1451
248.1072	16.1481
248.2596	16.1334
248.4120	15.4746
248.5644	15.0379
248.7168	15.0601
248.8692	15.2760
249.0216	16.4492
249.1740	17.0222
249.3264	16.9806
249.4788	15.7428
249.6312	16.0179
249.7836	16.4678
249.9360	18.0811
250.0884	18.4376
250.2408	18.2902
250.3932	14.7322
250.5456	14.2783
250.6980	14.2130
250.8504	14.1647
251.0028	14.0898
251.1552	14.0476
251.3076	14.2093
251.4600	14.4202
251.6124	14.4365
251.7648	15.6460
251.9172	16.5001
252.0696	15.9684
252.2220	15.2939
252.3744	14.6780
252.5268	15.1479
252.6792	16.5294
252.8316	16.3579
252.9840	14.9342
253.1364	14.5263
253.2888	14.8745
253.4412	14.8818
253.5936	14.9392
253.7460	16.9152
253.8984	18.3988
254.0508	18.4094
254.2032	18.2738
254.3556	17.9527
